S/N,Model ID,n,m,width,Length (A),BC,1st Natural Freq (GHz),Defect 1 %,Defect 2 %,Defect 3 %
1,A1,3,3,12.789,200,A,1.8151,1.7927,1.813,1.808774735
2,A2,5,5,21.315,200,A,1.7896,1.764,1.7282,1.744229019
3,A3,7,7,29.841,200,A,1.781,1.7344,1.732,1.755846786
4,A4,9,9,38.367,200,A,1.7752,1.7627,1.7443,1.7336
5,A5,12,12,51.156,200,A,1.7701,1.7467,1.7274,1.6942
6,A6,15,15,63.945,200,A,1.7661,1.7457,1.7297,1.676
7,A7,18,18,76.734,200,A,1.7642,1.7185,1.7164,1.715
8,A8,21,21,89.523,200,A,1.7634,1.7314,1.7386,1.6968
9,A9,3,0,7.383732593,200,A,1.718,1.6425,1.5997,1.640661082
10,A10,5,0,12.30622099,200,A,1.7233,1.7083,1.6726,1.639282851
11,A11,7,0,17.22870938,200,A,1.7096,1.6754,1.6195,1.662128898
12,A12,9,0,22.15119778,200,A,1.7083,1.6896,1.6146,1.605270909
13,A13,12,0,29.53493037,200,A,1.7073,1.6788,1.6761,1.624226925
14,A14,15,0,36.91866296,200,A,1.7068,1.6822,1.6839,1.6868
15,A15,18,0,44.30239556,200,A,1.7065,1.6751,1.6846,1.6337
16,A16,21,0,51.68612815,200,A,1.7064,1.6904,1.6758,1.615
17,A17,3,1,8.874142156,200,A,1.703,1.6459,1.6277,1.545924618
18,A18,6,2,17.74828431,200,A,1.7191,1.6786,1.681,1.573634971
19,A19,9,3,26.62242647,200,A,1.7367,1.7297,1.6949,1.682408632
20,A20,12,4,35.49656862,200,A,1.7385,1.6764,1.6904,1.6284
21,A21,15,5,44.37071078,200,A,1.7419,1.7059,1.7042,1.6765
22,A22,18,6,53.24485293,200,A,1.7449,1.715,1.7011,1.6833
23,A23,21,7,62.11899509,200,A,1.7451,1.71,1.7013,1.6911
24,A24,24,8,70.99313725,200,A,1.7503,1.711,1.7093,1.6886
25,A25,9,9,38.367,160,A,2.7778,2.7489,2.6438,2.628
26,A26,9,9,38.367,240,A,1.2241,1.21,1.1883,1.1775
27,A27,9,9,38.367,280,A,0.90345,0.89866,0.87228,0.85632
28,A28,9,9,38.367,320,A,0.68908,0.6748,0.67081,0.66803
29,A29,9,9,38.367,360,A,0.54648,0.54,0.53991,0.52612
30,A30,9,9,38.367,400,A,0.44127,0.4358,0.42689,0.42272
31,A31,9,9,38.367,440,A,0.36577,0.36416,0.35383,0.35511
32,A32,9,9,38.367,480,A,0.30568,0.3041,0.30088,0.29829
33,A33,15,0,36.91866296,160,A,2.6397,2.6255,2.6104,2.5089
34,A34,15,0,36.91866296,240,A,1.1693,1.1626,1.1692,1.1293
35,A35,15,0,36.91866296,280,A,0.86476,0.8541,0.83083,0.81361
36,A36,15,0,36.91866296,320,A,0.66045,0.6559,0.64845,0.63501
37,A37,15,0,36.91866296,360,A,0.5195,0.51044,0.5001,0.49879
38,A38,15,0,36.91866296,400,A,0.42175,0.41931,0.41333,0.40756
39,A39,15,0,36.91866296,440,A,0.34997,0.3461,0.34275,0.33379
40,A40,15,0,36.91866296,480,A,0.293,0.28905,0.28541,0.27991
41,A41,12,4,35.49656862,160,A,2.6091,2.6779,2.6534,2.6576
42,A42,12,4,35.49656862,240,A,1.1829,1.1822,1.1499,1.1617
43,A43,12,4,35.49656862,280,A,0.85987,0.88301,0.86116,0.83047
44,A44,12,4,35.49656862,320,A,0.66598,0.67223,0.659,0.6417
45,A45,12,4,35.49656862,360,A,0.51495,0.52667,0.52042,0.51662
46,A46,12,4,35.49656862,400,A,0.42204,0.4245,0.4192,0.41787
47,A47,12,4,35.49656862,440,A,0.35304,0.35037,0.34396,0.00058985
48,A48,12,4,35.49656862,480,A,0.2964,0.29452,0.29329,0.2866
