,Model ID,width,length,freq,theta,pristine
0,A1,12.789,200,1.8151,30.0,1
1,A2,21.315,200,1.7896,30.0,1
2,A3,29.841,200,1.781,30.0,1
3,A4,38.367,200,1.7752,30.0,1
4,A5,51.156,200,1.7701,30.0,1
5,A6,63.945,200,1.7661,30.0,1
6,A7,76.734,200,1.7642,30.0,1
7,A8,89.523,200,1.7634,30.0,1
8,A9,7.383732593,200,1.718,0.0,1
9,A10,12.30622099,200,1.7233,0.0,1
10,A11,17.22870938,200,1.7096,0.0,1
11,A12,22.15119778,200,1.7083,0.0,1
12,A13,29.53493037,200,1.7073,0.0,1
13,A14,36.91866296,200,1.7068,0.0,1
14,A15,44.30239556,200,1.7065,0.0,1
15,A16,51.68612815,200,1.7064,0.0,1
16,A17,8.874142156,200,1.703,13.9,1
17,A18,17.74828431,200,1.7191,13.9,1
18,A19,26.62242647,200,1.7367,13.9,1
19,A20,35.49656862,200,1.7385,13.9,1
20,A21,44.37071078,200,1.7419,13.9,1
21,A22,53.24485293,200,1.7449,13.9,1
22,A23,62.11899509,200,1.7451,13.9,1
23,A24,70.99313725,200,1.7503,13.9,1
24,A25,38.367,160,2.7778,30.0,1
25,A26,38.367,240,1.2241,30.0,1
26,A27,38.367,280,0.90345,30.0,1
27,A28,38.367,320,0.68908,30.0,1
28,A29,38.367,360,0.54648,30.0,1
29,A30,38.367,400,0.44127,30.0,1
30,A31,38.367,440,0.36577,30.0,1
31,A32,38.367,480,0.30568,30.0,1
32,A33,36.91866296,160,2.6397,0.0,1
33,A34,36.91866296,240,1.1693,0.0,1
34,A35,36.91866296,280,0.86476,0.0,1
35,A36,36.91866296,320,0.66045,0.0,1
36,A37,36.91866296,360,0.5195,0.0,1
37,A38,36.91866296,400,0.42175,0.0,1
38,A39,36.91866296,440,0.34997,0.0,1
39,A40,36.91866296,480,0.293,0.0,1
40,A41,35.49656862,160,2.6091,13.9,1
41,A42,35.49656862,240,1.1829,13.9,1
42,A43,35.49656862,280,0.85987,13.9,1
43,A44,35.49656862,320,0.66598,13.9,1
44,A45,35.49656862,360,0.51495,13.9,1
45,A46,35.49656862,400,0.42204,13.9,1
46,A47,35.49656862,440,0.35304,13.9,1
47,A48,35.49656862,480,0.2964,13.9,1
0,A1,12.789,200,1.7927,30.0,0
1,A2,21.315,200,1.764,30.0,0
2,A3,29.841,200,1.7344,30.0,0
3,A4,38.367,200,1.7627,30.0,0
4,A5,51.156,200,1.7467,30.0,0
5,A6,63.945,200,1.7457,30.0,0
6,A7,76.734,200,1.7185,30.0,0
7,A8,89.523,200,1.7314,30.0,0
8,A9,7.383732593,200,1.6425,0.0,0
9,A10,12.30622099,200,1.7083,0.0,0
10,A11,17.22870938,200,1.6754,0.0,0
11,A12,22.15119778,200,1.6896,0.0,0
12,A13,29.53493037,200,1.6788,0.0,0
13,A14,36.91866296,200,1.6822,0.0,0
14,A15,44.30239556,200,1.6751,0.0,0
15,A16,51.68612815,200,1.6904,0.0,0
16,A17,8.874142156,200,1.6459,13.9,0
17,A18,17.74828431,200,1.6786,13.9,0
18,A19,26.62242647,200,1.7297,13.9,0
19,A20,35.49656862,200,1.6764,13.9,0
20,A21,44.37071078,200,1.7059,13.9,0
21,A22,53.24485293,200,1.715,13.9,0
22,A23,62.11899509,200,1.71,13.9,0
23,A24,70.99313725,200,1.711,13.9,0
24,A25,38.367,160,2.7489,30.0,0
25,A26,38.367,240,1.21,30.0,0
26,A27,38.367,280,0.89866,30.0,0
27,A28,38.367,320,0.6748,30.0,0
28,A29,38.367,360,0.54,30.0,0
29,A30,38.367,400,0.4358,30.0,0
30,A31,38.367,440,0.36416,30.0,0
31,A32,38.367,480,0.3041,30.0,0
32,A33,36.91866296,160,2.6255,0.0,0
33,A34,36.91866296,240,1.1626,0.0,0
34,A35,36.91866296,280,0.8541,0.0,0
35,A36,36.91866296,320,0.6559,0.0,0
36,A37,36.91866296,360,0.51044,0.0,0
37,A38,36.91866296,400,0.41931,0.0,0
38,A39,36.91866296,440,0.3461,0.0,0
39,A40,36.91866296,480,0.28905,0.0,0
40,A41,35.49656862,160,2.6779,13.9,0
41,A42,35.49656862,240,1.1822,13.9,0
42,A43,35.49656862,280,0.88301,13.9,0
43,A44,35.49656862,320,0.67223,13.9,0
